About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.097900390625, 'source': 'mta', 'longitude': 10.173512210693, 'latitude': 36.8165128479, 'ignition': True, 'speedKmh': 2.2794135636168}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100646972656, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.099975585938, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100036621094, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100036621094, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100036621094, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100036621094, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100036621094, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100036621094, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100036621094, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100036621094, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100036621094, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100036621094, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100036621094, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100036621094, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100036621094, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100036621094, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100036621094, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100036621094, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.10009765625, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.100158691406, 'source': 'mta', 'longitude': 10.173511987915, 'latitude': 36.816512883911, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.1171875, 'source': 'mta', 'longitude': 10.173509650269, 'latitude': 36.816513256836, 'ignition': True, 'speedKmh': 4.6737827726056}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 81.178039550781, 'source': 'mta', 'longitude': 10.173504494019, 'latitude': 36.81651409729, 'ignition': True, 'speedKmh': 11.987219323393}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 86.444091796875, 'source': 'mta', 'longitude': 10.173492609253, 'latitude': 36.816514077148, 'ignition': True, 'speedKmh': 20.763091272838}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.803344726562, 'source': 'mta', 'longitude': 10.173476682739, 'latitude': 36.816514439087, 'ignition': True, 'speedKmh': 22.270487357515}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.883911132812, 'source': 'mta', 'longitude': 10.17346350647, 'latitude': 36.816515004883, 'ignition': True, 'speedKmh': 16.384952283385}
